Core #0 Usage [%],Core #1 Usage [%],Core #2 Usage [%],Core #3 Usage [%],Core #4 Usage [%],Core #5 Usage [%],Core #6 Usage [%],Core #7 Usage [%]
43.1,38.1,42.4,37.4,40.2,40.2,56.8,36.6
46.2,34.8,43.9,34,40.1,36.3,52.2,37.8
44.8,30.8,37.5,30.8,32.3,27.2,55.1,33.8
50,42.4,40.1,40.9,43.1,38.6,60.6,42.4
43.9,37.8,39.3,31.8,41.6,34.3,51.5,30.3
42.8,32.3,43.6,36.8,38.3,26.1,51.1,28.5
33.3,28.7,31.8,26.5,36.3,24.2,54.5,31.8
38.3,28.5,30.8,25,30.8,27.2,54.1,29.5
42.7,27.4,32,28.7,32,31,44.2,22.7
61.3,26.5,41.6,24.2,39.3,25.7,61.3,27.2
34,25.7,31,21.9,28,27.2,60.6,26.5
40.9,27.2,33.3,27.2,28,28,64.3,25.7
54.5,37.8,49.2,37.1,43.1,37.8,56.8,39.3
44.3,32.3,40.6,30.8,34.5,32.3,57.1,36
46.9,35.6,42.4,34.8,36.3,43.9,68.9,39.3
45.4,34,40.1,33.3,42.4,33.3,63.6,34.8
43.9,30.3,37.8,29.5,31.8,31.8,56.8,33.3
46.2,34,39.3,37.1,40.1,36.3,65.1,34
40.1,34,43.9,34.8,34.8,35.6,52.2,34.8
47.7,37.1,47.7,32.5,42.4,39.3,62.1,39.3
38.6,34,40.1,28,35.6,30.3,62.8,27.2
48.4,38.6,40.1,36.3,39.3,30.3,58.3,31
41.6,37.8,40.9,33.3,40.9,30.3,56,37.8
52.2,34.8,44.6,31,39.3,39.3,57.5,37.8
56.9,35.7,48.1,39.4,41.6,35,62.7,35.7
42.1,34.5,40.6,31.5,35.3,37.5,56.3,36.8
52.2,29.8,45.5,30.5,29.8,28.3,53.7,27.6
31.8,23.4,31.8,21.9,27.2,27.2,64.3,21.2
56,38.6,49.2,39.3,46.9,37.8,60.6,40.1
45.9,29.9,44.5,32.8,38.6,33.5,59.8,36.4
36.3,28.7,36.3,22.7,31.8,26.5,62.8,27.2
45.8,30.8,45.1,26.3,36.8,27.8,66.9,31.5
39.6,28.2,36.6,26.7,31.2,22.1,69.4,31.2
48.8,30.8,39,34.5,40.6,36.8,54.8,33
46.9,36.3,38.6,31,40.1,29.5,55.3,34.8
37.8,25,40.1,21.9,34.8,27.2,65.9,26.5
47.3,27.4,40.4,29.7,32.8,34.3,58,29.7
44.3,34.5,43.6,33,36,34.5,57.8,36.3
43.5,32,36.6,31.2,36.6,30.5,64.8,30.3
39,21.2,33,26.3,33,25,64.6,24
41.9,30.3,41.9,31.2,32.8,33.3,54.1,29.7
43.9,30.3,34,29.5,30.3,25.7,53,31
40.9,23.4,31,16.6,28.7,16.6,67.4,19.6
42.8,26.3,36.8,24.8,32.3,26.3,61.8,20.6
51.1,26.7,38.9,29,40.4,25.9,64.6,34.5
40.6,30.8,39.8,32.3,36,32.3,69.1,31.5
48,25.1,41.9,30.5,30.5,30.5,59.5,27.4
51.1,36,41.3,36.8,36.8,33,63.9,31.5
44.6,38.6,40.1,33.3,38.6,33.3,56,39.3
40.1,31.8,37.8,25.7,37.1,29.5,53.7,34
37.4,29,32,25.1,29.7,27.4,61.8,19
51.1,33.8,54.1,26.3,44.3,30.8,60.9,34.5
48.8,27.4,40.4,36.6,40.4,32,66.4,32.8
47.1,23.1,31.1,23.9,28.2,26.8,68.8,31.1
52.2,26.5,40.1,28.7,29.5,28.7,46.2,19.6
52.8,30.9,38.7,33,40.8,29.5,47.8,30.9
55.2,30.7,34.9,28.6,41.9,30.7,57.3,32.8
50.7,29.8,43.2,31.3,38,35,61.1,38.8
48.4,26.5,33.3,30.3,34,33.3,61.3,31.8
43.9,25,30.3,22.7,27.2,25.7,64.3,24.2
34,26.5,34,25.7,33.3,27.2,61.3,32.5
41.6,29.5,40.9,28.7,40.1,29.5,54.5,29.5
45.8,36.8,42.1,30,41.3,32.3,51.8,34.5
47,19.1,33.8,24.2,31.6,19.1,57.3,21.3
41.6,31,38.6,36.3,40.1,28,46.2,29.5
40.9,28.7,34.8,27.2,30.3,28,53,29.5
40.6,29.3,36.8,27.8,31.5,21,52.6,26.3
40.1,31,37.8,28,32.5,29.5,51.5,30.3
43.1,28,42.4,30.3,40.1,28.7,56.8,35.6
51.8,42.8,44.3,35.3,42.8,35.3,58.6,36
45.2,36.4,48.1,37.9,35.7,30.6,52.5,28.4
46.2,37.8,44.6,36.3,36.3,27.2,56.8,37.8
54.5,32.5,41.6,32.5,40.1,30.3,56,38.6
51.8,26.3,33,24,27.8,23.3,54.1,27.8
59.5,34.3,39.6,30.5,35.1,35.1,58,32
48.1,21.8,33.8,21.8,27.8,21.8,57.1,24
41.6,31.8,40.1,33.3,40.9,34,63.6,34
33.3,34.8,32.5,31.8,42.4,25,52.2,31.8
40.9,38.1,43.9,30.5,44.6,31,56,30.5
40.9,28.5,32.5,26.3,40.9,24.2,63.6,28.5
33.3,26.5,30.3,25,29.5,29.5,63.6,22.7
33.3,31.8,38.6,34.8,30.3,31.8,62.1,23.4
37.8,37.1,40.9,36.3,45.4,34,59.8,36.3
44.6,31,35.6,29.5,34.8,31.8,59,31
46.9,31,38.6,28.7,36.3,33.3,53,29.5
50.7,34.8,39.3,31.8,36.3,31.8,67.4,35.6
50.3,27.8,33,27.8,39,28.5,62.4,28.5
43.1,29.5,37.1,28,32.5,29.5,70.4,24.2
38.6,29.5,46.9,26.5,36.3,31.8,66.6,30.3
48.4,36.3,38.6,29.5,41.6,32.5,59.8,34.8
45.4,33.3,50,29.5,41.6,30.3,59.8,33.3
41.7,26.8,40.2,28.3,36.5,28.3,53.7,32.8
40.1,35.8,44.6,27.4,40.9,28.7,58.3,30.3
41.6,32.3,37.8,30,43.9,32.5,63.6,31.8
51.5,35.6,42.4,34.8,45.4,34,59.8,37.1
41.6,28,37.1,27.2,33.3,27.2,56.8,32.5
40.9,33.3,37.8,28,36.3,33.3,62.8,33.3
44.6,24.2,32.5,35.6,30.3,26.5,67.4,23.4
46.5,28.2,37.4,33.5,46.5,31.2,61.8,32
51.1,19.5,29.3,27,28.5,27,53.3,19.5
38.9,21.3,29,25.9,29,22.9,67.1,21.3
42.1,31.5,39.8,29.3,42.8,28,60.1,27.8
37.4,33.5,41.2,29,38.9,27.2,62.5,32.8
47.3,39.8,45.8,41.3,45.8,36.8,66.9,37.5
58.3,36.6,50,40.9,46.9,43.1,58.3,40.1
49.2,38.3,40.1,31,40.1,30.3,58.3,30.3
64.3,37.1,50,37.1,50,37.8,75,35.6
43.1,25,33.3,30.3,29.5,25,66.6,24.2
41.7,42.5,45.5,33.5,44,33.5,54.4,27.6
45.4,31.8,39.3,34.8,37.1,32.5,60.6,28.7
43.1,21.2,28.7,20.4,29.5,22.7,71.9,28
47.7,37.1,41.6,31.8,34.8,30.3,71.9,32.5
44.6,30.3,40.1,28,32.5,30.3,59,34.8
39.3,29.5,32.5,27.2,30.3,26.5,62.8,26.5
51.4,27.2,33.8,29.4,39.7,30.1,66.9,32.3
40.9,25,37.8,25,28.7,24.2,65.1,29.5
34.8,40.1,30.3,28,34,23.4,49.2,25
34.8,28.7,32.5,27.2,34.8,25.7,52.2,26.5
38.6,25,31.8,21.9,28,19.6,56.8,30.3
